date,industry,lprod,gva,labour
2020,P: 85,91.0689,82.4614,90.5483
2021,P: 85,92.3602,92.2458,99.8761
1997,Q: 86 to 88,106.8845,69.6089,65.1254
1998,Q: 86 to 88,108.8881,70.4107,64.6633
1999,Q: 86 to 88,106.7762,70.1304,65.6799
2000,Q: 86 to 88,108.6117,72.435,66.6917
2001,Q: 86 to 88,115.422,79.2479,68.6593
2002,Q: 86 to 88,112.6647,79.9944,71.0022
2003,Q: 86 to 88,115.3908,83.4109,72.2856
2004,Q: 86 to 88,114.1727,86.3365,75.6192
2005,Q: 86 to 88,113.4455,89.2426,78.6656
2006,Q: 86 to 88,112.1049,89.5963,79.9218
2007,Q: 86 to 88,113.1213,90.1516,79.6947
2008,Q: 86 to 88,109.778,90.7167,82.6365
2009,Q: 86 to 88,104.6656,88.301,84.3648
2010,Q: 86 to 88,103.5267,90.7512,87.6597
2011,Q: 86 to 88,103.8777,92.0797,88.6425
2012,Q: 86 to 88,103.3045,93.8432,90.8414
2013,Q: 86 to 88,100.5666,94.2347,93.7038
2014,Q: 86 to 88,99.4289,94.2958,94.8374
2015,Q: 86 to 88,102.0013,97.4945,95.5816
2016,Q: 86 to 88,103.2981,99.4733,96.2973
2017,Q: 86 to 88,105.2615,102.4678,97.3459
2018,Q: 86 to 88,103.804,101.5795,97.857
2019,Q: 86 to 88,100.0,100.0,100.0
2020,Q: 86 to 88,68.7558,69.0575,100.4388
2021,Q: 86 to 88,77.7917,82.1605,105.6159
1997,R: 90 to 93,106.6091,69.8631,65.532
1998,R: 90 to 93,96.4626,62.9012,65.2079
1999,R: 90 to 93,94.0398,65.0668,69.1907
2000,R: 90 to 93,97.1679,69.1937,71.2104
2001,R: 90 to 93,97.8415,74.1105,75.7455
2002,R: 90 to 93,105.7556,82.0163,77.5527
2003,R: 90 to 93,123.3109,94.2966,76.4706
2004,R: 90 to 93,129.5019,101.6166,78.4673
2005,R: 90 to 93,131.8672,106.3962,80.6843
2006,R: 90 to 93,128.9481,106.7175,82.7601
2007,R: 90 to 93,124.0314,102.8885,82.9536
2008,R: 90 to 93,123.4074,102.7881,83.2917
2009,R: 90 to 93,118.1484,92.9544,78.676
2010,R: 90 to 93,115.09,90.086,78.2744
2011,R: 90 to 93,118.8895,95.2204,80.0915
2012,R: 90 to 93,109.6766,92.198,84.0635
2013,R: 90 to 93,117.5427,97.7608,83.1705
2014,R: 90 to 93,115.138,101.4727,88.1314
2015,R: 90 to 93,107.1611,97.1684,90.675
